otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
12323,52506,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752203
12325,52506,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752205
12327,52506,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752207
12329,52505,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752209
12331,52505,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-22,"rio Negro, prox de Barcelos",Valeria Machado,MG752211
14365,46321,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.67511,-57.47677,Brazil,Amazonas,Nhamundá,2013-11-25,Com. Chave - rio Nhamundá,Valeria Machado,MG752214
14469,46320,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752220
14470,46320,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752221
14471,46320,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752222
14472,46320,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752223
14473,46320,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752224
