otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
14461,14461,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752216
14462,14462,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752217
14463,14463,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752218
14464,14464,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752219
14641,14641,UFAM,CTGA,MaterialSample,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",1.18446,-66.83651,Brazil,Amazonas,Negro,2014-02-22,Igarapé atrás da Vila de Cucuí - alto rio Negro,Valeria Machado,MG752231
15154,15154,UFAM,CTGA,MaterialSample,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752233
15168,15168,UFAM,CTGA,MaterialSample,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752235
15191,15191,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752236
15230,15230,UFAM,CTGA,MaterialSample,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-9.77827,-59.39833,Brazil,Mato Grosso,Aripuanã,2014-12-09,Confluencia do rio Branco com Aripuanã - MT,Valeria Machado,MG752237
15248,15248,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.68763,-59.95036,Brazil,Amazonas,Madeira,2014-12-22,"lago do Tracajá, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752241
15349,15349,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.73383,-59.84269,Brazil,Amazonas,Madeira,2015-01-05,"lago do Juma, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752244
15350,15350,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.73383,-59.84269,Brazil,Amazonas,Madeira,2015-01-05,"lago do Juma, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752245
105767,105767,UFAM,CTGA,MaterialSample,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Ota, R.",-1.4404,-56.77522,Brazil,Pará,Trombetas,NA,"Lago marginal, na margem esquerda do rio Trombetas","L. Rapp Py-Daniel, et al.",MG752250
MastLE,MastLE,UFAM,LEGAL,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.73383,-59.84269,Brazil,Amazonas,Madeira,2015-01-05,"lago do Juma, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752256
RAFA,RAFA,UFAM,LEGAL,MaterialSample,Other material,Myloplus levis (Eigenmann & McAtee 1907),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,levis,species,NA,"Ota, R.",NA,NA,Brazil,NA,Paraguai,NA,rio Sucunduri,Valeria Machado,MG752257
RAFA2,RAFA2,UFAM,LEGAL,MaterialSample,Other material,Myloplus levis (Eigenmann & McAtee 1907),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,levis,species,NA,"Ota, R.",NA,NA,Brazil,NA,Paraguai,NA,rio Sucunduri,Valeria Machado,MG752258
14291,14291,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Machado, V.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752264
14292,14292,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Machado, V.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752265
14293,14293,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Machado, V.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752266
14294,14294,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Machado, V.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752267
14295,14295,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Machado, V.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752268
14931,14931,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752273
14937,14937,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752274
14938,14938,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752275
14940,14940,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752277
14942,14942,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752278
15476,15476,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.07987,-57.40053,Brazil,Pará,Trombetas,2007-07-01,"Oriximiná, Cachoeira Porteira, rio Trombetas, Pará","Andrade, M.",KX868691
15478,15478,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.07987,-57.40053,Brazil,Pará,Trombetas,2007-07-01,"Oriximiná, Cachoeira Porteira, rio Trombetas, Pará","Andrade, M.",KX868693
107049,107049,UFAM,CTGA,MaterialSample,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Ota, R.",-1.72333,-69.14011,Brazil,Amazonas,Japurá,2014-09-12,"Barco SISBIOTA em frente de communidade 'Taboca', margem esquerda do Rio Japurá","L. Rapp Py-Daniel, et al.",MG752289
JAR125,JAR125,UFAM,LEGAL,MaterialSample,Other material,"Myloplus planquettei Jégu, Keith & Le Bail 2003",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,planquettei,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752324
1984,1984,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Fernández, H. | Ortí, G.",-3.84083,-52.69611,Brazil,Pará,Xingu,2008-08-21,rio Iriri,Natasha Verdasca,MG752325
1985,1985,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Fernández, H. | Ortí, G.",-3.84083,-52.69611,Brazil,Pará,Xingu,2008-08-21,rio Iriri,Natasha Verdasca,MG752326
1986,1986,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Fernández, H. | Ortí, G.",-3.84083,-52.69611,Brazil,Pará,Xingu,2008-08-21,rio Iriri,Natasha Verdasca,MG752327
1988,1988,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Fernández, H. | Ortí, G.",-3.84083,-52.69611,Brazil,Pará,Xingu,2008-08-21,rio Iriri,Natasha Verdasca,MG752328
1989,1989,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Fernández, H. | Ortí, G.",-3.84083,-52.69611,Brazil,Pará,Xingu,2008-08-21,rio Iriri,Natasha Verdasca,MG752329
5421,5421,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-24,Rio Xingu (Região do Babaquara),Valeria Machado,MG752330
5485,5485,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-24,rio Iriri,Valeria Machado,MG752331
5486,5486,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-24,rio Iriri,Valeria Machado,MG752332
5487,5487,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Machado, V.",-3.84083,-52.69611,Brazil,Pará,Xingu,2009-09-24,rio Iriri,Valeria Machado,MG752333
JAR181,JAR181,UFAM,LEGAL,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752335
JAR210,JAR210,UFAM,LEGAL,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752336
JAR211,JAR211,UFAM,LEGAL,MaterialSample,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Andrade, M.",NA,NA,Brazil,Amapá,Jari,NA,rio Jari,Valeria Machado,MG752337
11506,11506,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752338
11507,11507,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752339
11508,11508,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752340
11509,11509,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752341
11510,11510,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752342
11512,11512,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752343
11513,11513,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752344
11514,11514,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752345
11515,11515,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752346
11516,11516,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-11-21,rio Tapajós prox a Itaituba,Valeria Machado,MG752347
11570,11570,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-24,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752348
11646,11646,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752349
11760,11760,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752350
11761,11761,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752351
11762,11762,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752352
11763,11763,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752353
11764,11764,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752354
11765,11765,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752355
11766,11766,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752356
11923,11923,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-27,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752357
11924,11924,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2012-12-01,rio Tapajós prox a Itaituba,Valeria Machado,MG752358
14410,14410,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",-1.67511,-57.47677,Brazil,Amazonas,Nhamundá,2013-11-25,Com. Chave - rio Nhamundá,Valeria Machado,MG752362
100664,100664,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Bastos, D. | Ota, R.",-2.1754,-58.17393,Brazil,Amazonas,Jatapu,2011-10-01,Ressaca do Jatapu,"L. Rapp Py-Daniel, et al.",MG752364
107086,107086,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Ota, R.",-1.65166,-69.2068,Brazil,Amazonas,Japurá,2014-09-13,"Lago, margem esquerda do Rio Japurá","L. Rapp Py-Daniel, et al.",MG752365
107087,107087,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Ota, R.",-1.65166,-69.2068,Brazil,Amazonas,Japurá,2014-09-13,"Lago, margem esquerda do Rio Japurá","L. Rapp Py-Daniel, et al.",MG752366
107088,107088,UFAM,CTGA,MaterialSample,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Ota, R.",-1.65166,-69.2068,Brazil,Amazonas,Japurá,2014-09-13,"Lago, margem esquerda do Rio Japurá","L. Rapp Py-Daniel, et al.",MG752367
496,496,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-1.99678,-56.88378,Brazil,Amazonas,Nhamundá,2008-10-25,boca do rio Paratucu -Baixo rio Nhamundá,Valeria Machado,MG752368
1466,1466,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.21658,-55.89063,Brazil,Pará,Tapajós,2008-10-19,rio Tapajós prox a Itaituba,Valeria Machado,MG752369
3319,3319,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,MG752370
3320,3320,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Zuanon, J.",-5.61084,-48.13106,Brazil,Tocantins,Araguaia,2009-09-16,Comercio de peixes em Araguatins - TO,Natasha Verdasca,MG752371
5417,5417,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-24,Rio Xingu (Região do Babaquara),Valeria Machado,MG752372
5419,5419,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-24,Rio Xingu (Região do Babaquara),Valeria Machado,MG752373
5423,5423,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-3.4275,-52.22833,Brazil,Pará,Xingu,2009-09-24,Rio Xingu (Região do Babaquara),Valeria Machado,MG752374
11395,11395,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Souza, L.",-3.4275,-52.22833,Brazil,Pará,Xingu,2012-08-20,Rio Xingu (Gurgulho do espelho),Valeria Machado,MG752375
11643,11643,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752379
11645,11645,UFAM,CTGA,MaterialSample,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752381
